"","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","TotalLoc"
"Ags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,6,1,5,0,5,0,23
"BC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,3,2,0,1,5,1,0,3,4,27
"BCS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,2,2,10
"Camp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3
"CDMX",2,0,0,0,0,0,0,0,1,0,0,0,2,0,6,6,1,3,0,3,7,0,13,7,5,5,16,1,25,70,19,9,201
"Chih",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,5
"Chis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,4,1,11
"Coah",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,1,1,1,17,7,38
"Col",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
"Dgo",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,2,0,0,0,7
"EdoMex",0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,5,1,0,0,4,0,7,0,0,4,20,24,15,32,17,133
"Gro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,1,0,0,3,3,0,13
"Gto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,5,7,4,8,6,0,6,43
"Hgo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,5,0,0,5,0,17
"Jal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,15,7,3,6,5,0,0,20,13,5,1,7,88
"Mich",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,2,1,5,1,0,0,17
"Mor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,6
"Nay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,6
"NL",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,8,1,4,1,10,3,3,5,12,0,5,7,0,3,8,75
"Oax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,3,1,3,1,2,0,14
"Pue",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3,1,0,2,3,2,0,0,6,12,11,6,1,14,10,76
"Qro",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,2,2,3,0,2,0,2,3,2,2,1,1,26
"QRoo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,3,1,0,8,1,0,7,0,4,5,5,40
"Sin",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4,1,5,5,5,24
"SLP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,0,2,3,4,0,1,1,1,1,4,1,25
"Son",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,3,1,2,4,3,17
"Tab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,11,4,6,6,5,38
"Tamps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,8
"Tlax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4
"Ver",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,10,6,1,2,26
"Yuc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,3,4,0,1,4,0,5,5,3,4,2,3,5,44
"Zac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,6
"TotalFecha",3,1,1,0,0,0,0,1,1,0,0,0,3,4,11,15,11,30,10,24,45,38,46,55,50,37,68,112,131,132,143,101,1073
