"X","Ags","BC","BCS","Camp","CDMX","Chih","Chis","Coah","Col","Dgo","EdoMex","Gro","Gto","Hgo","Jal","Mich","Mor","Nay","NL","Oax","Pue","Qro","QRoo","Sin","SLP","Son","Tab","Tamps","Tlax","Ver","Yuc","Zac"
"28/02/2020","0","0","0","0","0.02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.03","0","0","0","0","0","0","0","0"
"29/02/2020","0","0","0","0","0.02","0","0","0.03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.03","0","0","0","0","0","0","0","0"
"01/03/2020","0","0","0","0","0.02","0","0.02","0.03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.03","0","0","0","0","0","0","0","0"
"02/03/2020","0","0","0","0","0.02","0","0.02","0.03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.03","0","0","0","0","0","0","0","0"
"03/03/2020","0","0","0","0","0.02","0","0.02","0.03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.03","0","0","0","0","0","0","0","0"
"04/03/2020","0","0","0","0","0.02","0","0.02","0.03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.03","0","0","0","0","0","0","0","0"
"05/03/2020","0","0","0","0","0.02","0","0.02","0.03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.03","0","0","0","0","0","0","0","0"
"06/03/2020","0","0","0","0","0.02","0","0.02","0.03","0","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0.03","0","0","0","0","0","0","0","0"
"07/03/2020","0","0","0","0","0.03","0","0.02","0.03","0","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0.03","0","0","0","0","0","0","0","0"
"08/03/2020","0","0","0","0","0.03","0","0.02","0.03","0","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0.03","0","0","0","0","0","0","0","0"
"09/03/2020","0","0","0","0","0.03","0","0.02","0.03","0","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0.03","0","0","0","0","0","0","0","0"
"10/03/2020","0","0","0","0","0.03","0","0.02","0.03","0","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0.03","0","0","0","0","0","0","0","0"
"11/03/2020","0","0","0","0","0.06","0","0.02","0.03","0","0","0.01","0","0","0","0","0","0","0","0","0","0","0.04","0","0.03","0","0","0","0","0","0","0","0"
"12/03/2020","0","0","0","0","0.06","0","0.02","0.03","0","0.05","0.01","0","0","0","0","0","0","0","0.02","0","0.02","0.09","0","0.03","0","0","0","0","0","0","0","0"
"13/03/2020","0","0","0","0","0.12","0","0.02","0.03","0","0.05","0.02","0","0","0","0","0","0","0","0.02","0","0.02","0.18","0.06","0.03","0","0","0","0","0","0","0.04","0"
"14/03/2020","0","0","0","0","0.19","0","0.02","0.03","0","0.05","0.02","0","0","0","0.02","0","0","0","0.05","0.05","0.05","0.18","0.06","0.03","0.03","0","0","0","0","0","0.04","0"
"15/03/2020","0.07","0","0","0","0.2","0","0.02","0.03","0","0.05","0.02","0","0","0","0.02","0","0","0","0.09","0.05","0.09","0.26","0.06","0.06","0.07","0","0","0","0","0","0.04","0"
"16/03/2020","0.07","0","0","0","0.23","0","0.02","0.03","0","0.16","0.05","0.05","0","0","0.02","0","0","0","0.23","0.05","0.12","0.31","0.23","0.06","0.07","0","0","0","0","0","0.18","0"
"17/03/2020","0.07","0","0","0","0.23","0.03","0.02","0.03","0","0.16","0.06","0.05","0.02","0","0.06","0","0","0","0.25","0.05","0.14","0.31","0.23","0.06","0.07","0.03","0","0.03","0","0","0.22","0"
"18/03/2020","0.07","0.06","0","0","0.27","0.03","0.02","0.03","0.13","0.16","0.06","0.05","0.06","0","0.07","0","0","0","0.34","0.05","0.14","0.31","0.35","0.06","0.1","0.03","0.04","0.05","0","0.02","0.35","0"
"19/03/2020","0.28","0.06","0","0","0.34","0.03","0.03","0.03","0.13","0.16","0.06","0.11","0.06","0.06","0.26","0","0","0","0.34","0.05","0.17","0.39","0.35","0.1","0.24","0.07","0.04","0.05","0","0.02","0.58","0"
"20/03/2020","0.28","0.11","0","0","0.34","0.05","0.03","0.03","0.13","0.21","0.08","0.11","0.06","0.06","0.33","0","0.1","0","0.52","0.05","0.21","0.48","0.64","0.1","0.24","0.07","0.08","0.05","0","0.05","0.58","0"
"21/03/2020","0.28","0.22","0.12","0","0.5","0.05","0.03","0.09","0.25","0.27","0.08","0.11","0.06","0.1","0.38","0","0.1","0.08","0.57","0.05","0.24","0.61","0.7","0.1","0.31","0.07","0.16","0.08","0","0.08","0.62","0.06"
"22/03/2020","0.28","0.3","0.12","0.1","0.62","0.13","0.03","0.31","0.25","0.27","0.13","0.11","0.06","0.16","0.49","0.06","0.1","0.08","0.62","0.07","0.24","0.61","0.7","0.13","0.42","0.13","0.19","0.11","0","0.08","0.84","0.12"
"23/03/2020","0.42","0.36","0.25","0.2","0.67","0.13","0.03","0.37","0.25","0.27","0.13","0.14","0.11","0.23","0.55","0.15","0.1","0.08","0.71","0.1","0.24","0.7","1.22","0.13","0.56","0.13","0.23","0.14","0","0.08","0.84","0.18"
"24/03/2020","0.42","0.36","0.25","0.2","0.73","0.16","0.03","0.37","0.25","0.27","0.13","0.16","0.19","0.23","0.55","0.17","0.1","0.08","0.93","0.1","0.33","0.7","1.28","0.13","0.56","0.13","0.23","0.14","0","0.08","1.06","0.18"
