"Fecha","InicioSintomas","Reporte"
2020-01-13,1,NA
2020-01-14,0,NA
2020-01-15,0,NA
2020-01-16,0,NA
2020-01-17,0,NA
2020-01-18,0,NA
2020-01-19,0,NA
2020-01-20,0,NA
2020-01-21,0,NA
2020-01-22,0,NA
2020-01-23,0,NA
2020-01-24,0,NA
2020-01-25,0,NA
2020-01-26,0,NA
2020-01-27,0,NA
2020-01-28,0,NA
2020-01-29,1,NA
2020-01-30,0,NA
2020-01-31,0,NA
2020-02-01,0,NA
2020-02-02,0,NA
2020-02-03,0,NA
2020-02-04,0,NA
2020-02-05,0,NA
2020-02-06,1,NA
2020-02-07,0,NA
2020-02-08,0,NA
2020-02-09,0,NA
2020-02-10,0,NA
2020-02-11,0,NA
2020-02-12,0,NA
2020-02-13,0,NA
2020-02-14,0,NA
2020-02-15,0,NA
2020-02-16,0,NA
2020-02-17,0,NA
2020-02-18,0,NA
2020-02-19,1,NA
2020-02-20,0,NA
2020-02-21,1,NA
2020-02-22,2,NA
2020-02-23,1,NA
2020-02-24,0,NA
2020-02-25,1,NA
2020-02-26,1,NA
2020-02-27,2,NA
2020-02-28,2,3
2020-02-29,2,1
2020-03-01,6,1
2020-03-02,8,0
2020-03-03,6,0
2020-03-04,7,0
2020-03-05,7,0
2020-03-06,10,1
2020-03-07,21,1
2020-03-08,21,0
2020-03-09,62,0
2020-03-10,50,0
2020-03-11,51,4
2020-03-12,60,4
2020-03-13,87,11
2020-03-14,91,15
2020-03-15,100,12
2020-03-16,133,29
2020-03-17,110,11
2020-03-18,124,25
2020-03-19,112,46
2020-03-20,182,39
2020-03-21,130,48
2020-03-22,141,65
2020-03-23,222,51
2020-03-24,181,38
2020-03-25,210,70
2020-03-26,247,110
2020-03-27,289,132
2020-03-28,271,131
2020-03-29,263,145
2020-03-30,381,101
2020-03-31,307,121
2020-04-01,462,163
2020-04-02,437,132
2020-04-03,443,178
2020-04-04,452,202
2020-04-05,430,253
2020-04-06,580,296
2020-04-07,512,346
2020-04-08,626,396
2020-04-09,626,260
2020-04-10,961,403
2020-04-11,723,375
2020-04-12,775,442
2020-04-13,963,353
2020-04-14,909,385
2020-04-15,1044,448
2020-04-16,1028,450
2020-04-17,1163,578
2020-04-18,1261,622
2020-04-19,1144,764
2020-04-20,1852,511
2020-04-21,1204,729
2020-04-22,1246,1043
2020-04-23,1303,1089
2020-04-24,1549,1239
2020-04-25,1608,970
2020-04-26,1437,835
2020-04-27,1762,852
2020-04-28,1557,1223
2020-04-29,1410,1047
2020-04-30,1952,1425
2020-05-01,2650,1515
2020-05-02,1909,1349
2020-05-03,1819,1383
2020-05-04,2308,1434
2020-05-05,2327,1120
2020-05-06,2082,1609
2020-05-07,2327,1982
2020-05-08,2696,1906
2020-05-09,2374,1938
2020-05-10,3215,1562
2020-05-11,2983,1305
2020-05-12,2679,1997
2020-05-13,2622,1862
2020-05-14,2630,2409
2020-05-15,3886,2437
2020-05-16,2969,2112
2020-05-17,2838,2075
2020-05-18,4077,2414
2020-05-19,3171,2713
2020-05-20,4329,2248
2020-05-21,2995,2973
2020-05-22,3805,2960
2020-05-23,3512,3329
2020-05-24,3293,2764
2020-05-25,4980,2485
2020-05-26,3649,3455
2020-05-27,3487,3463
2020-05-28,3969,3377
2020-05-29,4012,3227
2020-05-30,3863,2885
2020-05-31,3608,3152
2020-06-01,6548,2771
2020-06-02,4084,3891
2020-06-03,4035,3912
2020-06-04,4208,4442
2020-06-05,5180,4346
2020-06-06,4879,3593
2020-06-07,4138,3484
2020-06-08,5483,2999
2020-06-09,4466,4199
2020-06-10,6010,4883
2020-06-11,4349,4790
2020-06-12,5102,5222
2020-06-13,4533,3494
2020-06-14,4400,4147
2020-06-15,6747,3427
2020-06-16,5087,4599
2020-06-17,4372,4930
2020-06-18,5357,5662
2020-06-19,5469,5030
2020-06-20,7023,4717
2020-06-21,4487,5343
2020-06-22,5702,4577
2020-06-23,4920,6288
2020-06-24,4848,5437
2020-06-25,5692,6104
2020-06-26,6151,5441
2020-06-27,4844,4410
2020-06-28,5777,4050
2020-06-29,6017,3805
2020-06-30,5846,5432
2020-07-01,7327,5681
2020-07-02,5373,6741
2020-07-03,5623,6740
2020-07-04,5046,6914
2020-07-05,5303,4683
2020-07-06,5772,4902
2020-07-07,5128,6258
2020-07-08,4515,6995
2020-07-09,4429,7280
2020-07-10,6089,6891
2020-07-11,3789,6094
2020-07-12,3628,4482
2020-07-13,3792,4685
2020-07-14,2644,7051
2020-07-15,2418,6149
2020-07-16,1426,6406
2020-07-17,988,7257
2020-07-18,462,7615
2020-07-19,238,5311
2020-07-20,129,5172
2020-07-21,12,6859
2020-07-22,0,6019
